,periodCode,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries
421,20200120,unpaid,referral,0.0,0,0,172,1,1
422,20200121,AdWords,adwords_bra,136.53,484,263,306,12,11
423,20200121,AdWords,adwords_dsa,390.1,1245,56,55,0,0
424,20200121,AdWords,adwords_pla,9987.55,198368,2355,2411,22,22
425,20200121,AdWords,adwords_rem,774.29,28057,360,387,0,0
426,20200121,AdWords,adwords_sea,45.769999999999996,367,26,42,0,0
427,20200121,FacebookBusinessAdsManager,facebook,213.75,11558,422,0,0,0
428,20200121,FirmyCz,zbozi,80.54,598,3,3,0,0
429,20200121,HeurekaCz,heureka,208.95999999999998,0,39,40,1,1
430,20200121,Not tracked,notset,0.0,0,0,0,18,18
431,20200121,RtbHouse,rtbhouse,578.14,18217,471,349,2,2
432,20200121,Silverpop,emailing,1290.32,0,0,1690,16,16
