,createdAt,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries,revenue
176,2020-01-09,unpaid,push,0.0,0.0,0.0,1.0,0.0,0.0,
177,2020-01-09,unpaid,referral,0.0,0.0,0.0,235.0,3.0,3.0,
178,2020-01-10,AdWords,adwords_bra,167.62,475.0,271.0,326.0,10.0,8.0,73218.0
179,2020-01-10,AdWords,adwords_dsa,771.53,1457.0,66.0,63.0,0.0,0.0,
180,2020-01-10,AdWords,adwords_pla,9643.55,178749.0,2327.0,2430.0,25.0,25.0,52127.0
181,2020-01-10,AdWords,adwords_rem,330.28,14553.0,200.0,250.0,1.0,1.0,1508.0
182,2020-01-10,AdWords,adwords_sea,49.010000000000005,516.0,24.0,31.0,0.0,0.0,
183,2020-01-10,FacebookBusinessAdsManager,facebook,130.14,1316.0,97.0,0.0,0.0,0.0,
184,2020-01-10,FirmyCz,zbozi,80.54,704.0,4.0,1.0,0.0,0.0,
185,2020-01-10,HeurekaCz,heureka,222.34,0.0,41.0,54.0,1.0,1.0,1613.0
186,2020-01-10,Not tracked,notset,0.0,0.0,0.0,0.0,18.0,17.0,
187,2020-01-10,RtbHouse,rtbhouse,1311.11,21780.0,504.0,390.0,4.0,4.0,12713.0
188,2020-01-10,Silverpop,emailing,1290.32,0.0,0.0,1381.0,25.0,24.0,57537.0
189,2020-01-10,Sklik,sklik_bra,84.8,193.0,133.0,147.0,7.0,6.0,18086.0
190,2020-01-10,Sklik,sklik_pla,197.4,3019.0,44.0,49.0,0.0,0.0,
191,2020-01-10,Sklik,sklik_rem,384.5,15907.0,118.0,124.0,2.0,2.0,4067.0
192,2020-01-10,Sklik,sklik_sea,112.28,550.0,56.0,56.0,0.0,0.0,
193,2020-01-10,ZboziCz,zbozi,353.3,2485.0,48.0,40.0,0.0,0.0,
194,2020-01-10,unpaid,direct,0.0,0.0,0.0,548.0,8.0,8.0,
195,2020-01-10,unpaid,facebook,0.0,0.0,0.0,29.0,1.0,1.0,
196,2020-01-10,unpaid,internal,0.0,0.0,0.0,144.0,0.0,0.0,
197,2020-01-10,unpaid,notset,0.0,0.0,0.0,35.0,0.0,0.0,
198,2020-01-10,unpaid,organic,0.0,0.0,0.0,654.0,10.0,10.0,
199,2020-01-10,unpaid,referral,0.0,0.0,0.0,270.0,2.0,2.0,
200,2020-01-11,AdWords,adwords_bra,85.1,344.0,177.0,202.0,4.0,4.0,10563.0
201,2020-01-11,AdWords,adwords_dsa,339.72,1152.0,50.0,46.0,0.0,0.0,
202,2020-01-11,AdWords,adwords_pla,6050.13,130332.0,1760.0,1835.0,15.0,15.0,26554.0
203,2020-01-11,AdWords,adwords_rem,283.97,13414.0,175.0,199.0,0.0,0.0,
204,2020-01-11,AdWords,adwords_sea,38.120000000000005,369.0,25.0,26.0,0.0,0.0,
205,2020-01-11,FirmyCz,zbozi,80.54,704.0,4.0,2.0,0.0,0.0,
206,2020-01-11,HeurekaCz,heureka,158.95,0.0,32.0,49.0,1.0,1.0,1582.0
207,2020-01-11,Not tracked,notset,0.0,0.0,0.0,0.0,3.0,3.0,
208,2020-01-11,RtbHouse,rtbhouse,722.5,18850.0,403.0,357.0,3.0,3.0,8860.0
209,2020-01-11,Silverpop,emailing,1290.32,0.0,0.0,1013.0,12.0,12.0,33979.0
210,2020-01-11,Sklik,sklik_bra,60.8,133.0,89.0,95.0,3.0,3.0,2877.0
211,2020-01-11,Sklik,sklik_pla,184.7,1875.0,42.0,43.0,1.0,1.0,3024.0
212,2020-01-11,Sklik,sklik_rem,347.20000000000005,13918.0,112.0,125.0,0.0,0.0,
213,2020-01-11,Sklik,sklik_sea,55.38,363.0,35.0,37.0,0.0,0.0,
214,2020-01-11,ZboziCz,zbozi,376.51,2215.0,59.0,48.0,0.0,0.0,
215,2020-01-11,unpaid,direct,0.0,0.0,0.0,491.0,4.0,4.0,
216,2020-01-11,unpaid,facebook,0.0,0.0,0.0,85.0,0.0,0.0,
217,2020-01-11,unpaid,internal,0.0,0.0,0.0,126.0,0.0,0.0,
218,2020-01-11,unpaid,notset,0.0,0.0,0.0,14.0,0.0,0.0,
219,2020-01-11,unpaid,organic,0.0,0.0,0.0,571.0,2.0,2.0,
220,2020-01-11,unpaid,push,0.0,0.0,0.0,1.0,0.0,0.0,
221,2020-01-11,unpaid,referral,0.0,0.0,0.0,298.0,1.0,1.0,
222,2020-01-12,AdWords,adwords_bra,125.66,413.0,245.0,281.0,5.0,5.0,17370.0
223,2020-01-12,AdWords,adwords_dsa,491.57,1176.0,65.0,63.0,0.0,0.0,
224,2020-01-12,AdWords,adwords_pla,9221.71,171284.0,2366.0,2427.0,23.0,23.0,35374.0
